;[Bacteroides]_pectinophilus_ATCC_43243;-  Human, Homo sapiens Host-associated 
;Klebsiella_pneumoniae_KPN463ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN464ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN465ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN467ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN468ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN469ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN470ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN471ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN472ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN473ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN475ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN477ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN479ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN480ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN481ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN482ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN483ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN484ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN485ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN486ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN503ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN504ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN507ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN508ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN509ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN510ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN511ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN512ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN513ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN514ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN515ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN516ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN520ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN521ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN522ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN523ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN524ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN525ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN526ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN527ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN528ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN530ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN532ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN533ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN534ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN535ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN536ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN538ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN539ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN540ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN542ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN544ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN545ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN546ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN547ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN550ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN552ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN553ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN554ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN555ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN557ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN558ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN559ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN560ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN561ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN563ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN564ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN566ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN567ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN568ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN569ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN571ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN572ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN573ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN574ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN575ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN576ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN577ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN578ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN579ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN580ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN581ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN582ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN583ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN584ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN585ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN587ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN588ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN590ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN591ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN592ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN593ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN594ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN596ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN597ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN598ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN599ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN600ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN601ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN604ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN605ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN606ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN609ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN610ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN611ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN612ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN613ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN614ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN615ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN616ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN617ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN618ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN619ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN620ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN621ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN622ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN623ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN626ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN629ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN630ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN632ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN635ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN636ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN639ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN641ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN648ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN649ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN658ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN660ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN669ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN670ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN674ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN675ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN676ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN677ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN678ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN679ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN680ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN681ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN682ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN683ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN684ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN685ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN686ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN688ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN690ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN691ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN692ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN694ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN695ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN696ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN697ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN698ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN700ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN701ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN702ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN703ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN704ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN705ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN707ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN708ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN709ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN711ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN712ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN713ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN714ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN715ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN716ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN717ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN718ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN719ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN720ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN721ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN722ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN723ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN724ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN725ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN727ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN728ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN729ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN731ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN733ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN734ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN735ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN736ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN737ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN738ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN740ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN741ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN742ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN744ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN745ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN747ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN748ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN749ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN752ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN753ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN754ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN755ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN756ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN758ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN759ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN760ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN762ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN763ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN765ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN766ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN768ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN769ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN770ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN771ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN772ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN773ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN775ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN777ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN778ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN780ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN781ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN782ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN783ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN785ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN786ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN788ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN790ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN792ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN793ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN795ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN796ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN797ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN799ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN800ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN801ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN802ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN803ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN807ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN809ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN810ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN811ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN814ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN816ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN817ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN818ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN819ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN821ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN822ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN823ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN824ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN825ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN826ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN828ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN830ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN831ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN832ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN835ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN836ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN837ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN838ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN839ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN840ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN841ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN843ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN844ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN848ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN849ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN850ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN852ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN853ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN854ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN857ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN858ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN860ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN863ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN864ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN865ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN866ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN867ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN868ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN870ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN871ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN874ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN875ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN876ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN877ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN878ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN879ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN880ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN881ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN882ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN883ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN886ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN887ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN888ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN890ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN891ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN892ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN893ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN894ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN895ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN896ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN900ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN902ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN903ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN904ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN906ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN907ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN908ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN909ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN911ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN912ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN913ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN914ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN915ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN916ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN918ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN919ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN921ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN922ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN923ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN924ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN925ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN926ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN927ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN928ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN929ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN930ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN931ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN933ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN934ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN935ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN939ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN940ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN941ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN942ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN943ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN944ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN945ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN946ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN947ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN948ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN950ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN951ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN952ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN953ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN954ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN956ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN957ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN958ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN959ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN960ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN962ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN963ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN965ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN966ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN967ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN968ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN973ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN974ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN975ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN977ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN978ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN980ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN981ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN982ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN983ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN984ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN986ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN988ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN989ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN990ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN994ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN995ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN997ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_KPN999ec;  Human, Homo sapiens  
;Klebsiella_pneumoniae_Kb140;Negative  Human, Homo sapiens  
;Klebsiella_pneumoniae_Kb677;Negative  Human, Homo sapiens  
;Klebsiella_pneumoniae_LCT-KP182;Negative  Human, Homo sapiens HostAssociated 
;Klebsiella_pneumoniae_LCT-KP289;Negative  Human, Homo sapiens HostAssociated 
;Klebsiella_pneumoniae_MGH_17;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_18;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_19;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_20;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_21;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_29;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_30;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_31;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_32;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_35;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_36;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_39;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_40;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_43;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_44;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_45;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_46;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_47;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_48;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_51; Urine Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_52; Urine Human, Homo sapiens  
